,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
362,Porsche Cayenne Standard,99900,Porsche,Cayenne,2023,9 900 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
363,BMW X5,91940,BMW,X5,2021,6 358 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
364,BMW X5 xDrive30d,76530,BMW,X5,2020,6 050 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
365,Mercedes-Benz CL 500 7G-TRONIC,13490,Mercedes-Benz,CL,2007,157 686 km,Benzina,388 CP,5 461 cm3,Spate,,Automata,Coupe,,,
366,Ford Focus 1.5 EcoBlue ST Line Business,12900,Ford,Focus,2019,147 800 km,Diesel,120 CP,1 499 cm3,Fata,Euro 6d,Manuala,Combi,Germania,Da,Da
367,Volkswagen Golf 2.0 TDI DPF 4Motion Highline,6499,Volkswagen,Golf,2010,257 359 km,Diesel,140 CP,1 968 cm3,4x4 (automat),,Manuala,Compacta,,,
368,Audi Q3 2.0 TDI Quattro,13300,Audi,Q3,2013,202 500 km,Diesel,140 CP,1 968 cm3,4x4 (manual),Euro 5,Manuala,SUV,,,Da
369,Mazda CX-5 CD175 4x4 AT Revolution,11000,Mazda,CX-5,2014,219 500 km,Diesel,175 CP,2 191 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
370,Volkswagen Golf 1.6 TDI DPF Style,5500,Volkswagen,Golf,2012,217 000 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Combi,Germania,Da,Da
371,Mercedes-Benz S 500 4MATIC Long Aut,43250,Mercedes-Benz,S,2014,96 500 km,Benzina,455 CP,4 663 cm3,4x4 (automat),Euro 6,Automata,Sedan,Romania,Da,Da
372,Mercedes-Benz GLE 350 de 4Matic 9G-TRONIC AMG Line,94356,Mercedes-Benz,GLE,2022,1 km,Hibrid,194 CP,1 950 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
373,Mercedes-Benz GLC Coupe 400 e 4Matic 9G-TRONIC AMG Line Advanced,101711,Mercedes-Benz,GLC Coupe,2023,1 km,Hibrid,252 CP,1 999 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
374,Volkswagen Crafter 3.5 CD Bena L3 FWD 75kW,17400,Volkswagen,Crafter,2018,220 000 km,Diesel,102 CP,1 968 cm3,Fata,,Manuala,Monovolum,,,
375,Lamborghini URUS,329900,Lamborghini,URUS,2019,35 800 km,Benzina,650 CP,3 996 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
376,BMW X5 xDrive30d,82990,BMW,X5,2021,15 900 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
377,Nissan Qashqai 1.6 DCi ALL-MODE 4x4i TEKNA,15799,Nissan,Qashqai,2017,165 000 km,Diesel,130 CP,1 598 cm3,4x4 (manual),Euro 6,Manuala,SUV,Germania,Da,Da
378,Fiat Sedici 1.9 Multijet Dynamic,3150,Fiat,Sedici,2006,290 000 km,Diesel,120 CP,1 910 cm3,4x4 (automat),,Manuala,SUV,,,
379,Toyota Prius,7400,Toyota,Prius,2012,253 000 km,Benzina,99 CP,1 798 cm3,Fata,,Automata,Sedan,,,
380,Mercedes-Benz E,18600,Mercedes-Benz,E,2015,133 500 km,Diesel,130 CP,2 143 cm3,,Euro 6,Automata,Sedan,,Da,Da
381,Volkswagen Golf 1.6 TDI DPF Style,5500,Volkswagen,Golf,2012,217 000 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Combi,Germania,Da,Da
382,Mercedes-Benz S 500 4MATIC Long Aut,43250,Mercedes-Benz,S,2014,96 500 km,Benzina,455 CP,4 663 cm3,4x4 (automat),Euro 6,Automata,Sedan,Romania,Da,Da
383,Mercedes-Benz GLE 350 de 4Matic 9G-TRONIC AMG Line,94356,Mercedes-Benz,GLE,2022,1 km,Hibrid,194 CP,1 950 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
384,Mercedes-Benz GLE Coupe 400 d 4Matic 9G-TRONIC AMG Line,99510,Mercedes-Benz,GLE Coupe,2023,1 km,Diesel,330 CP,2 925 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
385,Mercedes-Benz GLC Coupe 400 e 4Matic 9G-TRONIC AMG Line Advanced,101711,Mercedes-Benz,GLC Coupe,2023,1 km,Hibrid,252 CP,1 999 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
386,Mercedes-Benz GLE Coupe 400 e 4Matic 9G-TRONIC AMG Line Advanced Plus,114169,Mercedes-Benz,GLE Coupe,2023,1 km,Hibrid,252 CP,1 999 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
387,Mercedes-Benz G AMG 63 SW Long Aut.,327250,Mercedes-Benz,G,2022,10 km,Benzina,585 CP,3 982 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
388,Mercedes-Benz E 350 D 9G-TRONIC Exclusive,31200,Mercedes-Benz,E,2016,97 000 km,Diesel,258 CP,2 987 cm3,,,Automata,Sedan,,,Da
389,BMW Seria 3 318d Touring Aut. Sport Line,10700,BMW,Seria 3,2012,245 000 km,Diesel,143 CP,1 995 cm3,,,Automata,Combi,,,Da
390,Hyundai I30 2.0 CRDi Premium,3700,Hyundai,I30,2008,227 000 km,Diesel,140 CP,1 991 cm3,Fata,Euro 4,Manuala,Compacta,Austria,,Da
391,Porsche Cayenne Standard,99900,Porsche,Cayenne,2023,9 900 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
392,BMW X5,91940,BMW,X5,2021,6 358 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
393,Mercedes-Benz CL 500 7G-TRONIC,13490,Mercedes-Benz,CL,2007,157 686 km,Benzina,388 CP,5 461 cm3,Spate,,Automata,Coupe,,,
394,Volkswagen Golf 2.0 TDI DPF 4Motion Highline,6499,Volkswagen,Golf,2010,257 359 km,Diesel,140 CP,1 968 cm3,4x4 (automat),,Manuala,Compacta,,,
395,Nissan Qashqai 1.6 DCi ALL-MODE 4x4i TEKNA,15799,Nissan,Qashqai,2017,165 000 km,Diesel,130 CP,1 598 cm3,4x4 (manual),Euro 6,Manuala,SUV,Germania,Da,Da
396,Mercedes-Benz E,18600,Mercedes-Benz,E,2015,133 500 km,Diesel,130 CP,2 143 cm3,,Euro 6,Automata,Sedan,,Da,Da
397,Ford Kuga,27999,Ford,Kuga,2022,22 567 km,Benzina,150 CP,1 496 cm3,,Euro 6,Manuala,SUV,,Da,Da
398,Mercedes-Benz S 500 4MATIC Long Aut,43250,Mercedes-Benz,S,2014,96 500 km,Benzina,455 CP,4 663 cm3,4x4 (automat),Euro 6,Automata,Sedan,Romania,Da,Da
399,Mercedes-Benz GLE 350 de 4Matic 9G-TRONIC AMG Line,94356,Mercedes-Benz,GLE,2022,1 km,Hibrid,194 CP,1 950 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
400,Mercedes-Benz G AMG 63 SW Long Aut.,327250,Mercedes-Benz,G,2022,10 km,Benzina,585 CP,3 982 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
401,Mercedes-Benz E 350 D 9G-TRONIC Exclusive,31200,Mercedes-Benz,E,2016,97 000 km,Diesel,258 CP,2 987 cm3,,,Automata,Sedan,,,Da
402,Porsche Cayenne Standard,99900,Porsche,Cayenne,2023,9 900 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
403,BMW X5,91940,BMW,X5,2021,6 358 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
404,BMW X5 xDrive30d,76530,BMW,X5,2020,6 050 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
405,BMW X5 xDrive30d,82990,BMW,X5,2021,15 900 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
406,Mercedes-Benz CL 500 7G-TRONIC,13490,Mercedes-Benz,CL,2007,157 686 km,Benzina,388 CP,5 461 cm3,Spate,,Automata,Coupe,,,
407,Ford Focus 1.5 EcoBlue ST Line Business,12900,Ford,Focus,2019,147 800 km,Diesel,120 CP,1 499 cm3,Fata,Euro 6d,Manuala,Combi,Germania,Da,Da
408,Nissan Qashqai 1.6 DCi ALL-MODE 4x4i TEKNA,15799,Nissan,Qashqai,2017,165 000 km,Diesel,130 CP,1 598 cm3,4x4 (manual),Euro 6,Manuala,SUV,Germania,Da,Da
409,Audi Q3 2.0 TDI Quattro,13300,Audi,Q3,2013,202 500 km,Diesel,140 CP,1 968 cm3,4x4 (manual),Euro 5,Manuala,SUV,,,Da
410,Mercedes-Benz E,18600,Mercedes-Benz,E,2015,133 500 km,Diesel,130 CP,2 143 cm3,,Euro 6,Automata,Sedan,,Da,Da
411,Mercedes-Benz GLE 350 de 4Matic 9G-TRONIC AMG Line,94356,Mercedes-Benz,GLE,2022,1 km,Hibrid,194 CP,1 950 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
412,Mercedes-Benz GLE Coupe 400 d 4Matic 9G-TRONIC AMG Line,99510,Mercedes-Benz,GLE Coupe,2023,1 km,Diesel,330 CP,2 925 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
413,Mercedes-Benz GLE Coupe 400 e 4Matic 9G-TRONIC AMG Line Advanced Plus,114169,Mercedes-Benz,GLE Coupe,2023,1 km,Hibrid,252 CP,1 999 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
414,Mercedes-Benz G AMG 63 SW Long Aut.,327250,Mercedes-Benz,G,2022,10 km,Benzina,585 CP,3 982 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
415,Mercedes-Benz E 350 D 9G-TRONIC Exclusive,31200,Mercedes-Benz,E,2016,97 000 km,Diesel,258 CP,2 987 cm3,,,Automata,Sedan,,,Da
416,BMW Seria 3 318d Touring Aut. Sport Line,10700,BMW,Seria 3,2012,245 000 km,Diesel,143 CP,1 995 cm3,,,Automata,Combi,,,Da
417,Volkswagen Crafter 3.5 CD Bena L3 FWD 75kW,17400,Volkswagen,Crafter,2018,220 000 km,Diesel,102 CP,1 968 cm3,Fata,,Manuala,Monovolum,,,
418,Hyundai I30 2.0 CRDi Premium,3700,Hyundai,I30,2008,227 000 km,Diesel,140 CP,1 991 cm3,Fata,Euro 4,Manuala,Compacta,Austria,,Da
419,BMW X7,98720,BMW,X7,2021,26 759 km,Diesel,340 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
420,Porsche Cayenne Standard,99900,Porsche,Cayenne,2023,9 900 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
421,Lamborghini URUS,329900,Lamborghini,URUS,2019,35 800 km,Benzina,650 CP,3 996 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
422,BMW X5,91940,BMW,X5,2021,6 358 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
423,BMW X5 xDrive30d,76530,BMW,X5,2020,6 050 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
424,Mercedes-Benz CL 500 7G-TRONIC,13490,Mercedes-Benz,CL,2007,157 686 km,Benzina,388 CP,5 461 cm3,Spate,,Automata,Coupe,,,
425,Ford Focus 1.5 EcoBlue ST Line Business,12900,Ford,Focus,2019,147 800 km,Diesel,120 CP,1 499 cm3,Fata,Euro 6d,Manuala,Combi,Germania,Da,Da
426,Nissan Qashqai 1.6 DCi ALL-MODE 4x4i TEKNA,15799,Nissan,Qashqai,2017,165 000 km,Diesel,130 CP,1 598 cm3,4x4 (manual),Euro 6,Manuala,SUV,Germania,Da,Da
427,Audi Q3 2.0 TDI Quattro,13300,Audi,Q3,2013,202 500 km,Diesel,140 CP,1 968 cm3,4x4 (manual),Euro 5,Manuala,SUV,,,Da
428,Mercedes-Benz E,18600,Mercedes-Benz,E,2015,133 500 km,Diesel,130 CP,2 143 cm3,,Euro 6,Automata,Sedan,,Da,Da
429,BMW Seria 4,29600,BMW,Seria 4,2014,95 000 km,Benzina,245 CP,1 997 cm3,,Euro 6,Automata,Coupe,,,
430,Renault Scenic,1799,Renault,Scenic,2010,160 000 km,Benzina + GPL,135 CP,1 998 cm3,,,Automata,Monovolum,,,
431,Audi Q8 50 TDI quattro tiptronic,97900,Audi,Q8,2023,10 km,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
432,Mercedes-Benz GLE 350 de 4Matic 9G-TRONIC AMG Line,94356,Mercedes-Benz,GLE,2022,1 km,Hibrid,194 CP,1 950 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
433,Mercedes-Benz GLE Coupe 400 d 4Matic 9G-TRONIC AMG Line,99510,Mercedes-Benz,GLE Coupe,2023,1 km,Diesel,330 CP,2 925 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
434,Mercedes-Benz GLC Coupe 400 e 4Matic 9G-TRONIC AMG Line Advanced,101711,Mercedes-Benz,GLC Coupe,2023,1 km,Hibrid,252 CP,1 999 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
435,Mercedes-Benz CLA 220 4Matic 8G-DCT Progressive Line Advanced,57354,Mercedes-Benz,CLA,2023,1 km,Benzina,190 CP,1 991 cm3,4x4 (manual),Euro 6d,Automata,Coupe,,,Da
436,Mercedes-Benz E 350 D 9G-TRONIC Exclusive,31200,Mercedes-Benz,E,2016,97 000 km,Diesel,258 CP,2 987 cm3,,,Automata,Sedan,,,Da
437,Ford Ranger,45000,Ford,Ranger,2021,45 200 km,Diesel,213 CP,1 996 cm3,,,Automata,SUV,,,
438,BMW Seria 3 318d Touring Aut. Sport Line,10700,BMW,Seria 3,2012,245 000 km,Diesel,143 CP,1 995 cm3,,,Automata,Combi,,,Da
439,BMW X7,98720,BMW,X7,2021,26 759 km,Diesel,340 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
440,BMW X5,97898,BMW,X5,2020,11 700 km,Hibrid,286 CP,2 998 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
441,Porsche Cayenne Standard,99900,Porsche,Cayenne,2023,9 900 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
442,Lamborghini URUS,329900,Lamborghini,URUS,2019,35 800 km,Benzina,650 CP,3 996 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
443,BMW X5 xDrive30d,76530,BMW,X5,2020,6 050 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
444,Nissan Qashqai 1.6 DCi ALL-MODE 4x4i TEKNA,15799,Nissan,Qashqai,2017,165 000 km,Diesel,130 CP,1 598 cm3,4x4 (manual),Euro 6,Manuala,SUV,Germania,Da,Da
445,Audi Q3 2.0 TDI Quattro,13300,Audi,Q3,2013,202 500 km,Diesel,140 CP,1 968 cm3,4x4 (manual),Euro 5,Manuala,SUV,,,Da
446,Toyota Prius,7400,Toyota,Prius,2012,253 000 km,Benzina,99 CP,1 798 cm3,Fata,,Automata,Sedan,,,
447,Mercedes-Benz E,18600,Mercedes-Benz,E,2015,133 500 km,Diesel,130 CP,2 143 cm3,,Euro 6,Automata,Sedan,,Da,Da
448,Ford Kuga,27999,Ford,Kuga,2022,22 567 km,Benzina,150 CP,1 496 cm3,,Euro 6,Manuala,SUV,,Da,Da
449,BMW Seria 4,29600,BMW,Seria 4,2014,95 000 km,Benzina,245 CP,1 997 cm3,,Euro 6,Automata,Coupe,,,
450,Mazda CX-5 CD175 4x4 AT Revolution,11000,Mazda,CX-5,2014,219 500 km,Diesel,175 CP,2 191 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
451,Volkswagen Golf 1.6 TDI DPF Style,5500,Volkswagen,Golf,2012,217 000 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Combi,Germania,Da,Da
452,Mercedes-Benz S 500 4MATIC Long Aut,43250,Mercedes-Benz,S,2014,96 500 km,Benzina,455 CP,4 663 cm3,4x4 (automat),Euro 6,Automata,Sedan,Romania,Da,Da
453,Mercedes-Benz GLE 350 de 4Matic 9G-TRONIC AMG Line,94356,Mercedes-Benz,GLE,2022,1 km,Hibrid,194 CP,1 950 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
454,Mercedes-Benz GLE Coupe 400 d 4Matic 9G-TRONIC AMG Line,99510,Mercedes-Benz,GLE Coupe,2023,1 km,Diesel,330 CP,2 925 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
455,Mercedes-Benz GLE Coupe 400 e 4Matic 9G-TRONIC AMG Line Advanced Plus,114169,Mercedes-Benz,GLE Coupe,2023,1 km,Hibrid,252 CP,1 999 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
456,BMW Seria 3 318d Touring Aut. Sport Line,10700,BMW,Seria 3,2012,245 000 km,Diesel,143 CP,1 995 cm3,,,Automata,Combi,,,Da
457,Hyundai H-1 2.5 CRDi Travel Premium,9000,Hyundai,H-1,2009,26 000 km,Diesel,170 CP,2 497 cm3,Spate,,Manuala,Monovolum,,,Da
458,Dacia Spring Comfort Plus,12500,Dacia,Spring,2021,19 983 km,Electric,44 CP,,Fata,,Automata,Masina de oras,Romania,Da,Da
459,BMW X5,97898,BMW,X5,2020,11 700 km,Hibrid,286 CP,2 998 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
460,Porsche Cayenne Standard,99900,Porsche,Cayenne,2023,9 900 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
461,BMW X5 xDrive30d,76530,BMW,X5,2020,6 050 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
462,BMW X5 xDrive30d,82990,BMW,X5,2021,15 900 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
463,Mercedes-Benz CL 500 7G-TRONIC,13490,Mercedes-Benz,CL,2007,157 686 km,Benzina,388 CP,5 461 cm3,Spate,,Automata,Coupe,,,
464,Renault Scenic,1799,Renault,Scenic,2010,160 000 km,Benzina + GPL,135 CP,1 998 cm3,,,Automata,Monovolum,,,
465,Mazda CX-5 CD175 4x4 AT Revolution,11000,Mazda,CX-5,2014,219 500 km,Diesel,175 CP,2 191 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
466,Volkswagen Golf 1.6 TDI DPF Style,5500,Volkswagen,Golf,2012,217 000 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Combi,Germania,Da,Da
467,Hyundai H-1 2.5 CRDi Travel Premium,9000,Hyundai,H-1,2009,26 000 km,Diesel,170 CP,2 497 cm3,Spate,,Manuala,Monovolum,,,Da
468,Audi Q3 2.0 TDI Quattro Stronic,17850,Audi,Q3,2016,141 000 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,
469,Dacia Spring Comfort Plus,12500,Dacia,Spring,2021,19 983 km,Electric,44 CP,,Fata,,Automata,Masina de oras,Romania,Da,Da
470,Porsche Cayenne Coupe,93900,Porsche,Cayenne Coupe,2019,69 500 km,Benzina,440 CP,2 995 cm3,4x4 (automat),,Automata,Coupe,Germania,Da,Da
471,Porsche Cayenne Coupe Standard,137899,Porsche,Cayenne Coupe,2023,4 209 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
472,BMW X5 xDrive45e,76707,BMW,X5,2021,24 750 km,Hibrid,286 CP,2 998 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
473,BMW X7 xDrive40d MHEV,102850,BMW,X7,2021,32 335 km,Diesel,340 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
474,BMW X5,97898,BMW,X5,2020,11 700 km,Hibrid,286 CP,2 998 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
475,Porsche Cayenne Standard,99900,Porsche,Cayenne,2023,9 900 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
476,BMW X5,91940,BMW,X5,2021,6 358 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
477,Nissan Qashqai 1.6 DCi ALL-MODE 4x4i TEKNA,15799,Nissan,Qashqai,2017,165 000 km,Diesel,130 CP,1 598 cm3,4x4 (manual),Euro 6,Manuala,SUV,Germania,Da,Da
478,Toyota Prius,7400,Toyota,Prius,2012,253 000 km,Benzina,99 CP,1 798 cm3,Fata,,Automata,Sedan,,,
479,Ford Kuga,27999,Ford,Kuga,2022,22 567 km,Benzina,150 CP,1 496 cm3,,Euro 6,Manuala,SUV,,Da,Da
480,BMW Seria 4,29600,BMW,Seria 4,2014,95 000 km,Benzina,245 CP,1 997 cm3,,Euro 6,Automata,Coupe,,,
481,Mazda CX-5 CD175 4x4 AT Revolution,11000,Mazda,CX-5,2014,219 500 km,Diesel,175 CP,2 191 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
482,Hyundai H-1 2.5 CRDi Travel Premium,9000,Hyundai,H-1,2009,26 000 km,Diesel,170 CP,2 497 cm3,Spate,,Manuala,Monovolum,,,Da
483,Audi Q3 2.0 TDI Quattro Stronic,17850,Audi,Q3,2016,141 000 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,
484,Dacia Spring Comfort Plus,12500,Dacia,Spring,2021,19 983 km,Electric,44 CP,,Fata,,Automata,Masina de oras,Romania,Da,Da
485,Porsche Cayenne Coupe,93900,Porsche,Cayenne Coupe,2019,69 500 km,Benzina,440 CP,2 995 cm3,4x4 (automat),,Automata,Coupe,Germania,Da,Da
486,BMW X5 xDrive45e,76707,BMW,X5,2021,24 750 km,Hibrid,286 CP,2 998 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
487,BMW X7 xDrive40d MHEV,102850,BMW,X7,2021,32 335 km,Diesel,340 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
488,BMW X7,98720,BMW,X7,2021,26 759 km,Diesel,340 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
489,Porsche Cayenne Standard,99900,Porsche,Cayenne,2023,9 900 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
490,Lamborghini URUS,329900,Lamborghini,URUS,2019,35 800 km,Benzina,650 CP,3 996 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
491,Mercedes-Benz CL 500 7G-TRONIC,13490,Mercedes-Benz,CL,2007,157 686 km,Benzina,388 CP,5 461 cm3,Spate,,Automata,Coupe,,,
492,Ford Focus 1.5 EcoBlue ST Line Business,12900,Ford,Focus,2019,147 800 km,Diesel,120 CP,1 499 cm3,Fata,Euro 6d,Manuala,Combi,Germania,Da,Da
493,Volkswagen Golf 2.0 TDI DPF 4Motion Highline,6499,Volkswagen,Golf,2010,257 359 km,Diesel,140 CP,1 968 cm3,4x4 (automat),,Manuala,Compacta,,,
494,Nissan Qashqai 1.6 DCi ALL-MODE 4x4i TEKNA,15799,Nissan,Qashqai,2017,165 000 km,Diesel,130 CP,1 598 cm3,4x4 (manual),Euro 6,Manuala,SUV,Germania,Da,Da
495,Mercedes-Benz E,18600,Mercedes-Benz,E,2015,133 500 km,Diesel,130 CP,2 143 cm3,,Euro 6,Automata,Sedan,,Da,Da
496,Ford Kuga,27999,Ford,Kuga,2022,22 567 km,Benzina,150 CP,1 496 cm3,,Euro 6,Manuala,SUV,,Da,Da
497,BMW Seria 4,29600,BMW,Seria 4,2014,95 000 km,Benzina,245 CP,1 997 cm3,,Euro 6,Automata,Coupe,,,
498,Renault Scenic,1799,Renault,Scenic,2010,160 000 km,Benzina + GPL,135 CP,1 998 cm3,,,Automata,Monovolum,,,
499,Mazda CX-5 CD175 4x4 AT Revolution,11000,Mazda,CX-5,2014,219 500 km,Diesel,175 CP,2 191 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
500,BMW Seria 1 120d,4000,BMW,Seria 1,2007,201 200 km,Diesel,177 CP,1 995 cm3,Spate,Euro 4,Manuala,Compacta,,,Da
501,Audi Q3 2.0 TDI Quattro Stronic,17850,Audi,Q3,2016,141 000 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,
502,Dacia Spring Comfort Plus,12500,Dacia,Spring,2021,19 983 km,Electric,44 CP,,Fata,,Automata,Masina de oras,Romania,Da,Da
503,Audi A8,137980,Audi,A8,2022,11 580 km,Hibrid,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,Da,Da
504,BMW X7 xDrive40d MHEV,102850,BMW,X7,2021,32 335 km,Diesel,340 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
505,Porsche Cayenne Coupe Standard,104890,Porsche,Cayenne Coupe,2022,6 999 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,Coupe,Germania,Da,Da
506,BMW X7,98720,BMW,X7,2021,26 759 km,Diesel,340 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
507,Porsche Cayenne Standard,99900,Porsche,Cayenne,2023,9 900 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
508,Lamborghini URUS,329900,Lamborghini,URUS,2019,35 800 km,Benzina,650 CP,3 996 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
509,BMW X5,91940,BMW,X5,2021,6 358 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
510,BMW X5 xDrive30d,76530,BMW,X5,2020,6 050 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
511,Mercedes-Benz CL 500 7G-TRONIC,13490,Mercedes-Benz,CL,2007,157 686 km,Benzina,388 CP,5 461 cm3,Spate,,Automata,Coupe,,,
512,Ford Focus 1.5 EcoBlue ST Line Business,12900,Ford,Focus,2019,147 800 km,Diesel,120 CP,1 499 cm3,Fata,Euro 6d,Manuala,Combi,Germania,Da,Da
513,Nissan Qashqai 1.6 DCi ALL-MODE 4x4i TEKNA,15799,Nissan,Qashqai,2017,165 000 km,Diesel,130 CP,1 598 cm3,4x4 (manual),Euro 6,Manuala,SUV,Germania,Da,Da
514,Fiat Sedici 1.9 Multijet Dynamic,3150,Fiat,Sedici,2006,290 000 km,Diesel,120 CP,1 910 cm3,4x4 (automat),,Manuala,SUV,,,
515,Audi Q3 2.0 TDI Quattro,13300,Audi,Q3,2013,202 500 km,Diesel,140 CP,1 968 cm3,4x4 (manual),Euro 5,Manuala,SUV,,,Da
516,Toyota Prius,7400,Toyota,Prius,2012,253 000 km,Benzina,99 CP,1 798 cm3,Fata,,Automata,Sedan,,,
517,Ford Kuga,27999,Ford,Kuga,2022,22 567 km,Benzina,150 CP,1 496 cm3,,Euro 6,Manuala,SUV,,Da,Da
